Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main On-Board Computer","Xiphos Q8S","ARM Cortex-A9 dual-core + Xilinx Kintex-7 FPGA (XC7K160T), space-qualified, 4 GB DDR3 ECC RAM, 256 MB NOR flash, FreeRTOS/cFS. Handles SAR range compression, image pre-processing, data routing. Radiation tolerant ≥ 30 krad TID.","electrical","mcu",1,75000.00,75000.00,"https://www.xiphos.ca/products/q8s"
"AI Accelerator Module","NVIDIA Jetson Orin NX (16 GB) - Space Modified","COTS (space-modified with shielding). 100 TOPS (INT8) performance for onboard AI inference. Shielded in 2mm aluminum vault + 0.5mm tantalum. Target ≤ 10 krad TID.","electrical","module",1,25000.00,25000.00,"https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin-nx/"
"Mass Storage Flash Module","3D-Plus/Microsemi Rad-Hard NAND Flash Module","512 GB to 1 TB radiation-hardened NAND flash storage with hardware SECDED. FIFO ring buffer for raw imagery, priority queue for AI alerts. ≥ 100,000 write cycles.","electrical","module",1,15000.00,15000.00,"https://www.3d-plus.com/products/nand-flash-memory-modules/"
"Optical Focal Plane Array Detector","Sony IMX455 (Space Screened Equivalent)","Back-side illuminated (BSI) CMOS, scientific grade. ≥ 9000 × 6000 pixels, 5.0–7.0 μm pixel pitch. PAN, Blue, Green, Red, NIR spectral channels. ≥ 30 fps burst, TDI mode.","electrical","sensor",1,40000.00,40000.00,"https://www.digikey.com/en/products/result?keywords=sony+imx455"
"SAR Transceiver Electronics","Custom X-band SAR Electronics (GaN SSPA, LNA, DDS, ADC)","X-Band (9.6 GHz) radar system including GaN SSPA (20-40W peak RF), LNA (NF ≤ 2.5dB), DDS (AD9914 or equiv.), 12-bit ≥1 Gsps ADC, and TCXO (≤ 1 ppb stability). Handles LFM chirp waveform generation and raw data sampling. Onboard range compression.","electrical","module",1,80000.00,80000.00,"https://www.analog.com/en/products/ad9914.html"
"Deployable SAR Patch Antenna","Custom 8x16 Planar Microstrip Patch Array","500mm × 300mm deployed aperture, 8 × 16 (128 elements) patch array. ≥ 28 dBi gain. Electronic beam steering (±30° azimuth) via 4-bit phase shifters per element. RF connection via flexible coaxial harness.","electrical","module",1,35000.00,35000.00,"https://www.alibaba.com/trade/search?keywords=x-band+patch+array+antenna"
"Star Tracker (+Y Panel)","Blue Canyon Technologies NST or Sinclair Interplanetary ST-16RT2","Primary star tracker for high-accuracy attitude knowledge. ≥ 4 Hz update rate, ≤ 5 arcsec (3σ) knowledge, ≥ 10° × 10° FOV, lost-in-space capable. Mounted on +Y panel.","electrical","sensor",1,30000.00,30000.00,"https://www.bluecanyontech.com/star-trackers/"
"Star Tracker (-Y Panel)","Blue Canyon Technologies NST or Sinclair Interplanetary ST-16RT2","Redundant star tracker for high-accuracy attitude knowledge. ≥ 4 Hz update rate, ≤ 5 arcsec (3σ) knowledge, ≥ 10° × 10° FOV, lost-in-space capable. Mounted on -Y panel.","electrical","sensor",1,30000.00,30000.00,"https://www.sinclairinterplanetary.com/star-trackers"
"IMU / Gyroscope","Analog Devices ADIS16480 (or MEMS FOG equivalent)","High-frequency attitude data. ARW ≤ 0.003°/√hr, Bias stability ≤ 1°/hr. 100 Hz update rate.","electrical","sensor",1,5000.00,5000.00,"https://www.analog.com/en/products/adis16480.html"
"Coarse Sun Sensor (+X Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","sensor",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (-X Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","sensor",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (+Y Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","sensor",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (-Y Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","sensor",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (+Z Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","sensor",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (-Z Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","sensor",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Fine Sun Sensor (+Z Face)","Custom CubeSat Fine Sun Sensor","Provides precise solar tracking data, mounted on +Z face.","electrical","sensor",1,1500.00,1500.00,"https://www.google.com/search?q=cubesat+fine+sun+sensor"
"Magnetometer 1","Custom CubeSat Magnetometer","Used for momentum desaturation scheduling with magnetorquers.","electrical","sensor",1,1000.00,1000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetometer.aspx"
"Magnetometer 2","Custom CubeSat Magnetometer","Redundant magnetometer for momentum desaturation scheduling.","electrical","sensor",1,1000.00,1000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetometer.aspx"
"Reaction Wheel 1","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","actuator",1,10000.00,10000.00,"https://www.sinclairinterplanetary.com/products/reaction-wheels"
"Reaction Wheel 2","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","actuator",1,10000.00,10000.00,"https://www.gomspace.com/products/adcs/nanopower-wheel-gsw200.aspx"
"Reaction Wheel 3","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","actuator",1,10000.00,10000.00,"https://www.sinclairinterplanetary.com/products/reaction-wheels"
"Reaction Wheel 4 (Redundant)","Bradford WDET10 or Microwheel 200","Redundant reaction wheel for attitude control. Skewed 54.7° from Z-axis. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque.","electrical","actuator",1,10000.00,10000.00,"https://www.gomspace.com/products/adcs/nanopower-wheel-gsw200.aspx"
"Magnetorquer X-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","actuator",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
